*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv2
*Date=19:15:27
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;0.1µF;1206 [SMD, multilayer];15.0011;-33.2318;0;Top;C6
2;;ssop28db;27.2156;-6.8542;-90;Top;IC3
3;;;38.3844;-20.8089;0;Bottom;Via26
4;;;2.4257;-11.8098;0;Bottom;Copper Fill51
5;;;3.9116;-22.3635;0;Bottom;Copper Fill13
6;;;46.2534;-10.5779;0;Bottom;Copper Fill56
7;;;5.1689;-14.2482;0;Bottom;Copper Fill46
8;;;1.4732;-26.8339;0;Bottom;Copper Fill53
9;;;21.6154;-32.8156;0;Bottom;Copper Fill1
10;;;27.6733;-28.2182;0;Bottom;Copper Fill58
11;;;2.4257;-20.8776;0;Bottom;Copper Fill48
12;;;30.2133;-18.744;0;Bottom;Copper Fill21
13;;;45.7073;-10.0064;0;Bottom;Copper Fill55
14;;;24.3078;-23.6208;0;Bottom;Copper Fill7
15;;;1.4732;-29.3739;0;Bottom;Copper Fill60
16;;;28.4908;-25.2795;0;Bottom;Via17
17;;;45.974;-14.299;0;Bottom;Copper Fill37
18;;;27.3594;-20.4472;0;Bottom;Via10
19;;;5.1689;-14.2482;0;Bottom;Copper Fill10
20;;;23.5796;-12.2302;0;Bottom;Via3
21;;;46.2026;-12.4067;0;Bottom;Copper Fill19
22;;;43.688;-31.1646;0;Bottom;Copper Fill27
23;;;20.5486;-4.1263;0;Bottom;Copper Fill23
24;;;13.3985;-33.7808;0;Bottom;Copper Fill62
25;;8-smd;41.9918;-5.74159;0;Top;U2
26;;;15.0114;-32.9934;0;Bottom;Copper Fill25
27;;THT;47.8863;-23.9644;0;Bottom;J3
28;;;24.0792;-9.2063;0;Bottom;Copper Fill64
29;;THT;8.86578;-29.1908;-90;Bottom;XTAL1
30;;;32.033;-15.0759;0;Bottom;Via29
31;;;39.243;-21.2332;0;Bottom;Copper Fill32
32;;;45.085;-12.4067;0;Bottom;Copper Fill66
33;;;2.63134;-2.22876;0;Bottom;Hole3
34;;;24.6656;-26.0445;0;Bottom;Via20
35;;;23.3394;-32.8786;0;Bottom;Via13
36;;;40.894;-16.204;0;Bottom;Copper Fill35
37;;;45.6855;-12.3316;0;Bottom;Via6
38;0.1µF;1206 [SMD, multilayer];20.2456;-8.41535;-90;Top;C12
39;;;46.2026;-12.4067;0;Bottom;Copper Fill67
40;10µF;0605 [SMD, electrolytic];13.4972;-12.58;0;Top;C13
41;;;25.2929;-17.5892;0;Bottom;IMG1
42;0.1µF;1206 [SMD, multilayer];37.5664;-32.9353;0;Top;C3
43;;;31.2803;-13.4941;0;Bottom;Via32
44;;;37.9222;-26.7196;0;Bottom;Copper Fill29
45;;;27.9781;-33.5268;0;Bottom;Copper Fill69
46;;;2.4257;-23.8494;0;Bottom;Copper Fill11
47;;soic8;20.5047;-29.7028;0;Top;IC2
48;;;30.2404;-19.2298;0;Bottom;Via25
49;;;37.6301;-25.7544;0;Bottom;Copper Fill71
50;;;47.7266;-11.3272;0;Bottom;Copper Fill39
51;;;29.6418;-19.3155;0;Bottom;Copper Fill74
52;;;38.1;-9.092;0;Bottom;Copper Fill41
53;;;38.1214;-28.4778;0;Bottom;Via16
54;;;33.8074;-7.3902;0;Bottom;Copper Fill43
55;;;27.6352;-26.4402;0;Bottom;Copper Fill4
56;;;26.0008;-20.3325;0;Bottom;Via9
57;;;21.4637;-17.3528;0;Bottom;Via2
58;;;15.5194;-15.2642;0;Bottom;Copper Fill8
59;1nF;1206 [SMD, multilayer];44.0734;-27.8389;0;Top;C16
60;0.1µF;1206 [SMD, multilayer];35.666;-16.0939;0;Top;C9
61;;tqfp;27.5088;-18.8946;0;Top;Atmega1
62;;;40.7254;-18.4609;0;Bottom;Via28
63;;;48.1611;-32.81;0;Bottom;Hole2
64;;;1.0922;-10.3239;0;Bottom;Copper Fill15
65;;;30.5945;-26.7713;0;Bottom;Via19
66;;;45.6565;-11.8352;0;Bottom;Copper Fill17
67;220;1206 [SMD];26.1855;-28.8495;0;Top;R3
68;;;3.9116;-22.3635;0;Bottom;Copper Fill50
69;;;15.9926;-24.2681;0;Bottom;Via12
70;;;1.0922;-22.3635;0;Bottom;Copper Fill12
71;200k;1206 [SMD];16.2934;-29.2828;90;Top;R1
72;;;38.227;-3.6564;0;Bottom;Copper Fill45
73;;;1.0922;-10.3239;0;Bottom;Copper Fill52
