*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv0.4
*Date=19:24:57
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;24.3205;-23.062;0;Bottom;Copper Fill42
2;;;18.669;-25.8052;0;Bottom;Copper Fill60
3;33pF;1206 [SMD, multilayer];35.014;-33.1485;0;Top;C7
4;;;19.685;-28.3071;0;Bottom;Copper Fill16
5;;soic8;38.4469;-27.8861;0;Top;IC1
6;;;43.5864;-21.8174;0;Bottom;Copper Fill62
7;;;5.1689;-14.2482;0;Bottom;Copper Fill100
8;;;45.4533;-12.6226;0;Bottom;Copper Fill88
9;;;33.5534;-16.5088;0;Bottom;Copper Fill72
10;;;8.636;-25.1702;0;Bottom;Copper Fill64
11;;;12.7254;-20.4331;0;Bottom;Copper Fill102
12;;;6.6421;-33.4252;0;Bottom;Copper Fill90
13;;;10.541;-6.6282;0;Bottom;Copper Fill74
14;;;13.2842;-9.0539;0;Bottom;Copper Fill30
15;220;1206 [SMD];43.3057;-13.4993;90;Top;R3
16;;;2.4257;-11.8098;0;Bottom;Copper Fill104
17;;1206 [SMD];38.5725;-5.86227;-180;Top;NO
18;;;28.0289;-30.809;0;Bottom;Copper Fill92
19;;;5.5372;-18.5662;0;Bottom;Copper Fill76
20;;;28.0289;-31.9266;0;Bottom;Copper Fill12
21;;;13.8049;-12.5464;0;Bottom;Copper Fill106
22;;;46.5582;-24.0272;0;Bottom;Copper Fill5
23;;;13.8985;-8.98157;0;Bottom;Via18
24;;;43.2689;-11.378;0;Bottom;Copper Fill94
25;;;27.9579;-23.7924;0;Bottom;Via25
26;;;2.4257;-23.8494;0;Bottom;Copper Fill108
27;;;32.8116;-24.6502;0;Bottom;Via12
28;;;29.2481;-12.4194;0;Bottom;Copper Fill96
29;10µF;0405 [SMD, electrolytic];12.3433;-18.6406;0;Top;C13
30;;;29.5004;-31.5948;0;Bottom;TXT1
31;;;44.0872;-27.7476;0;Bottom;Via5
32;;THT;19.8614;-2.28285;90;Bottom;PWR
33;;;1.0922;-22.3635;0;Bottom;Copper Fill110
34;;;12.4968;-6.3615;0;Bottom;Copper Fill112
35;;;25.2476;-23.3668;0;Bottom;Copper Fill3
36;;;18.923;-33.1331;0;Bottom;Copper Fill98
37;0.1µF;1206 [SMD, multilayer];18.5712;-25.1469;0;Top;C8
38;;;14.351;-13.1179;0;Bottom;Copper Fill22
39;;;42.6974;-13.3719;0;Bottom;Copper Fill114
40;;;37.7825;-26.4402;0;Bottom;Copper Fill80
41;;;2.4257;-23.8494;0;Bottom;Copper Fill17
42;;THT;29.4127;-4.48001;90;Bottom;J6
43;;usb-b-pth;2.54781;-16.2804;0;Bottom;U1
44;;;23.9141;-26.2116;0;Bottom;Copper Fill116
45;;;23.749;-22.5159;0;Bottom;Copper Fill43
46;;;2.59522;-32.7998;0;Bottom;Hole1
47;;;33.7312;-15.8103;0;Bottom;Copper Fill118
48;;;39.1541;-2.996;0;Bottom;Copper Fill45
49;;;27.178;-20.1918;0;Bottom;Copper Fill67
50;;;13.2842;-9.0539;0;Bottom;Copper Fill120
51;;;40.1066;-2.0435;0;Bottom;Copper Fill47
52;;;33.8328;-23.6843;0;Bottom;Copper Fill83
53;;;43.815;-13.3719;0;Bottom;Copper Fill33
54;;;22.0218;-2.3483;0;Bottom;Copper Fill122
55;;;22.0726;-17.5756;0;Bottom;Copper Fill69
56;;;17.2974;-32.9426;0;Bottom;Copper Fill49
57;200k;1206 [SMD];34.7377;-28.9462;90;Top;R2
58;;;43.3086;-13.3129;0;Bottom;Via21
59;;;33.4137;-33.7046;0;Bottom;Copper Fill85
60;;;13.7414;-31.3551;0;Bottom;Copper Fill124
61;;;9.2709;-20.649;0;Bottom;Via14
62;;;26.8478;-33.0442;0;Bottom;Copper Fill51
63;;;34.3669;-18.9332;0;Bottom;Via1
64;;;4.2926;-15.0991;0;Bottom;Copper Fill11
65;;;28.3337;-33.6792;0;Bottom;Copper Fill87
66;;;28.4734;-23.8367;0;Bottom;Copper Fill25
67;;;37.2332;-19.4471;0;Bottom;Via8
68;;2x3-ns;8.10994;-29.897;-90;Bottom;ISCP
69;;;24.1681;-7.8474;0;Bottom;Copper Fill126
70;;;40.6908;-32.9934;0;Bottom;Copper Fill53
71;;;11.2776;-30.3518;0;Bottom;Copper Fill1
72;1nF;1206 [SMD, multilayer];44.0734;-27.8389;0;Top;C16
73;;;30.0736;-26.5672;0;Bottom;Copper Fill4
74;0.1µF;1206 [SMD, multilayer];40.694;-33.2192;180;Top;C3
