*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCBpedalv3
*Date=10:52:31
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;14.3129;-30.809;0;Bottom;Copper Fill35
2;;;35.1917;-13.283;0;Bottom;Copper Fill83
3;;;2.4257;-20.8776;0;Bottom;Copper Fill17
4;33pF;1206 [SMD, multilayer];35.014;-33.1485;0;Top;C7
5;;;3.9116;-10.3239;0;Bottom;Copper Fill24
6;;;4.7117;-1.7768;0;Bottom;Copper Fill85
7;;;3.9116;-22.3635;0;Bottom;Copper Fill19
8;;soic8;24.5814;-27.9833;0;Top;IC2
9;;;32.8116;-24.6502;0;Bottom;Via12
10;;;28.067;-31.317;0;Bottom;Via13
11;;;19.05;-30.5804;0;Bottom;Copper Fill50
12;;;5.6896;-32.4727;0;Bottom;Copper Fill87
13;;;26.4857;-26.8396;0;Bottom;Via9
14;;;33.5534;-16.5088;0;Bottom;Copper Fill66
15;;;22.352;-26.6688;0;Bottom;Copper Fill52
16;;;38.2778;-23.8875;0;Bottom;Copper Fill9
17;;;44.0873;-27.7476;0;Bottom;Via5
18;;;37.084;-27.5578;0;Bottom;Copper Fill54
19;;;28.0289;-31.9266;0;Bottom;Copper Fill11
20;;;43.2689;-11.378;0;Bottom;Copper Fill90
21;;;29.9085;-3.25;0;Bottom;Copper Fill40
22;;;34.367;-18.9331;0;Bottom;Via1
23;;;29.2989;-11.9114;0;Bottom;Copper Fill92
24;;2x3-ns;8.10994;-29.897;-90;Bottom;ISCP
25;;;43.815;-13.3719;0;Bottom;Copper Fill28
26;;;37.774;-23.847;0;Bottom;Via22
27;0.1µF;1206 [SMD, multilayer];18.5712;-25.1469;0;Top;C8
28;;;9.2329;-20.141;0;Bottom;Copper Fill30
29;;tqfp;34.8344;-18.0737;-90;Top;atmega
30;;;14.351;-31.317;0;Bottom;Via15
31;;;48.1611;-32.81;0;Bottom;Hole2
32;;;32.5882;-26.5926;0;Bottom;Copper Fill2
33;;;24.9936;-16.5596;0;Bottom;Copper Fill6
34;;;16.1544;-1.3196;0;Bottom;Copper Fill72
35;;;26.5206;-29.0048;0;Bottom;Via6
36;;;30.0736;-26.5672;0;Bottom;Copper Fill4
37;;;42.2021;-33.7554;0;Bottom;Copper Fill74
38;;;43.815;-13.3719;0;Bottom;Copper Fill106
39;;;33.8328;-23.6843;0;Bottom;Copper Fill76
40;;;34.2773;-16.3818;0;Bottom;Copper Fill108
41;;;12.7254;-20.4331;0;Bottom;Copper Fill94
42;;;13.8049;-8.838;0;Bottom;Copper Fill110
43;10µF;0405 [SMD, electrolytic];12.3591;-23.5116;0;Top;C11
44;;;1.0922;-10.3239;0;Bottom;Copper Fill96
45;;;8.6614;-20.6871;0;Bottom;Copper Fill31
46;1nF;1206 [SMD, multilayer];44.0734;-27.8389;0;Top;C16
47;;;14.351;-8.2919;0;Bottom;Copper Fill112
48;;;2.4257;-23.8494;0;Bottom;Copper Fill16
49;;;26.0731;-16.0054;0;Bottom;IMG1
50;;;9.271;-20.649;0;Bottom;Via14
51;;;13.2334;-13.1179;0;Bottom;Copper Fill98
52;0.1µF;1206 [SMD, multilayer];40.694;-33.2192;180;Top;C3
53;;;21.0693;-3.3008;0;Bottom;Copper Fill37
54;;;37.7317;-24.459;0;Bottom;Copper Fill7
